question,answer,tags,card_type,options,correct_option_idx,typed_compare_mode
dieselben,"Das Wort 'dieselben' bedeutet 'die gleichen' oder 'die gleichen Personen/Dinge'. Es wird verwendet, um auf etwas vorher Genanntes hinzuweisen und zu betonen, dass es sich um genau dasselbe handelt.
The word 'dieselben' means 'the same' or 'the same people/things'. It is used to refer back to something mentioned before and emphasizes that it is exactly the same.","de,hesse_unterm_rad,Moderne,DET",basic,"",0,ci
berauben (v),"etwas nehmen, das jemand braucht oder hat, oft durch eigenes Tun oder durch einen anderen
to deprive someone of something they need or have, often through their own action or by someone else","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
maßlos,"Sehr viel, zu viel, ohne Grenzen oder Kontrolle.
Excessively, without limits, too much.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
wirst,"Das Wort 'wirst' ist die 2. Person Singular von 'werden' und bedeutet, dass etwas in der Zukunft passiert oder sich eine Veränderung ereignet.
The word 'wirst' is the 2nd person singular form of 'werden' and means that something will happen in the future or a change will occur.","de,hesse_unterm_rad,Moderne,AUX",basic,"",0,ci
übernächtig (adj),"Das Wort 'übernächtig' bedeutet sehr müde, erschöpft oder wie jemand, der zu lange wach war und nicht genug geschlafen hat.
The word 'übernächtig' means very tired, exhausted, or like someone who stayed up too long and did not sleep enough.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
durchkommen (v),"etwas schaffen oder ein Ziel erreichen, oft nach Schwierigkeiten
to succeed or make it through, often after difficulties","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
jauchzen,"laut und fröhlich schreien oder lachen
to shout or laugh loudly and joyfully","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
tiefliegend (adj),"Das Wort 'tiefliegend' bedeutet, dass etwas (z. B. Augen) sehr tief in der Haut oder im Gesicht liegt und nicht sofort sichtbar ist.
The word 'tiefliegend' means that something (e.g., eyes) lies very deep in the skin or face and is not immediately visible.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
würdig,"etwas, das man respektieren oder bewundern sollte, weil es gut oder wichtig ist
worthy, deserving, or fitting for something important","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
milde (adj),"Milde bedeutet sanft, freundlich oder nicht streng.
Gentle, kind, or not harsh.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
blinken (v),"etwas leuchtet kurz auf und geht wieder aus, oft wegen Wasser oder Licht
to flash or shimmer briefly, often due to water or light","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
brüstung,"Eine Brüstung ist eine niedrige Mauer oder ein Geländer, das an Brücken, Fenstern oder Balkonen steht, um einen Sturz zu verhindern.
A parapet or low wall/railing that stands at bridges, windows, or balconies to prevent falling.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
nüchtern,"nüchtern bedeutet klar, sachlich und ohne Emotionen oder Trunkenheit; es beschreibt einen rationalen Geisteszustand.
sober, clear-headed, and rational without emotions or drunkenness.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
gemüt,"Das Gemüt ist die innere Stimmung oder das Gefühl eines Menschen, zum Beispiel Freude, Trauer oder Angst.
The Gemüt is the inner mood or feeling of a person, such as joy, sadness, or fear.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
fordernd,"fordernd — ein Wort aus dem literarischen Kontext.
(no English gloss for fordernd)","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
notwendig,"etwas, das man unbedingt machen muss oder das sehr wichtig ist
something that must be done or is very important","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
spaziergang,"Ein Spaziergang ist ein langsames Gehen, oft zum Entspannen oder zum Lernen, nicht zum Sport.
A walk, usually done slowly to relax or study, not for sports.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
vergeistigen (v),"etwas sehr geistig, abstrakt oder spirituell machen; von der Materie lösen
to make something very spiritual, abstract, or intellectual; to separate from matter","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
hag (adj),"Hager bedeutet sehr dünn, abgemagert und oft auch blass oder krank aussehend.
Hager means very thin, emaciated, and often looking pale or sickly.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
schmal (adj),"etwas, das nicht breit ist, sondern nur eine kleine Breite hat
not wide, having only a small width","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
gefürchtet (adj),"etwas oder jemanden, den man sehr fürchtet, der als gefährlich oder streng bekannt ist
feared (someone or something that is very frightening or known to be dangerous)","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
glänzen (v),"etwas glänzt, wenn es stark reflektiert und hell erscheint, oft durch Licht oder einen glatten Stoff.
something shines or gleams, appearing bright by reflecting light or having a smooth surface.","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
gebogen (adj),"Bedeutet, dass etwas eine Kurve hat oder nicht gerade ist, sondern sich in eine Richtung wölbt.
Means that something has a curve or is not straight, but bends in one direction.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
umsonst,"etwas tun, ohne dafür Geld oder Gegenleistung zu bekommen; umsonst = kostenlos oder vergeblich (je nach Kontext).
to do something without receiving money or payment in return; 'umsonst' can mean 'for free' or 'in vain' depending on context.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
geistig (adj),"geistig — ein Wort aus dem literarischen Kontext.
(no English gloss for geistig)","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
